Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.53817773,88.35578167,Ballygunge,13311,8875,9633,10882,10867,13515,11848,10449,42835
2,22.49450665,88.36118777,Jadavpur,8280,9123,9670,10775,10824,13607,13228,11745,43204
2,22.4939623,88.36147405,Jadavpur,6264,9031,9677,10790,10810,13617,12704,11270,42948
2,22.4939623,88.36147405,Jadavpur,6264,9031,9677,10790,10810,13617,12704,11270,42948
2,22.49369135,88.3614714,Jadavpur,6174,8960,9552,10611,10601,13076,12320,11110,42933
2,22.49287852,88.36146344,Jadavpur,7344,8947,9439,10513,10403,14059,12525,11038,42922
2,22.49260019,88.36233552,Jadavpur,9801,8997,9525,10534,10463,13952,12386,10885,42961
2,22.49259772,88.36262709,Jadavpur,6525,9157,9784,10700,10696,13594,12599,11304,42950
2,22.4928662,88.36292132,Jadavpur,6525,9003,9572,10687,10680,14277,12808,11210,42914
2,22.49286373,88.36321289,Jadavpur,9099,9263,9921,11095,11211,13765,13291,11805,42933
2,22.49259279,88.36321024,Jadavpur,6525,9122,9740,10832,10890,12993,12857,11718,42960
2,22.49232678,88.36262444,Jadavpur,9801,8895,9456,10501,10461,13356,12337,11004,42978
2,22.49232185,88.36320758,Jadavpur,7110,9047,9625,10717,10718,13593,12633,11535,43007
2,22.49205583,88.36262178,Jadavpur,7110,8849,9447,10520,10559,13354,12460,11029,43015
2,22.49178489,88.36261913,Jadavpur,6264,9082,9746,10889,10960,13756,12766,11305,43058
2,22.49286127,88.36350447,Jadavpur,7227,9173,9773,10868,11036,13427,12629,11440,42971
2,22.49340315,88.36350978,Jadavpur,6264,8768,9310,10522,10404,13470,12445,10894,43002
2,22.49367163,88.36380401,Jadavpur,6525,8955,9571,10737,10638,13458,12542,11130,43044
2,22.49394257,88.36380666,Jadavpur,6264,9189,9934,11069,11135,13921,12605,11126,43052
2,22.49394504,88.36351509,Jadavpur,6525,9340,10006,11189,11196,13907,13225,11826,43037
2,22.49421351,88.36380932,Jadavpur,7110,9132,9899,11086,11092,13970,12678,11001,43092
2,22.49448693,88.3635204,Jadavpur,6030,9173,9921,11158,11183,13733,12969,11421,43083
2,22.49421598,88.36351774,Jadavpur,9099,9433,10201,11427,11595,13917,13206,11811,43079
2,22.49476527,88.36264832,Jadavpur,7110,9220,10017,11311,11615,13964,13082,11616,43108
2,22.49503868,88.36235939,Jadavpur,7110,9423,10164,11557,11929,14065,13195,11724,43023
2,22.49503128,88.36323413,Jadavpur,7110,9162,9903,11257,11294,13658,13272,11990,42989
2,22.4947554,88.36381463,Jadavpur,6030,9221,10051,11270,11371,13386,12678,11425,43112
2,22.49475787,88.36352305,Jadavpur,6264,9143,9961,11236,11318,13738,12739,11333,43086
2,22.49475293,88.36410621,Jadavpur,6264,9114,9799,11013,11013,13233,12749,11517,42997
2,22.49448199,88.36410355,Jadavpur,6264,8961,9665,10961,10883,13787,12728,11235,42983
2,22.49421105,88.3641009,Jadavpur,6264,9170,10036,11311,11511,14049,13318,11549,42976
2,22.49530962,88.36236204,Jadavpur,6264,9033,9758,11126,11200,13860,13334,11536,43032
2,22.49530222,88.36323678,Jadavpur,6264,9077,9854,11096,11161,13259,12678,11518,43020
2,22.49558303,88.36207312,Jadavpur,6030,8869,9558,10718,10699,13478,12456,10911,43075
2,22.49369628,88.36088824,Jadavpur,8514,8937,9541,10619,10598,13225,12403,11123,43048
2,22.49342534,88.36088559,Jadavpur,8514,8994,9606,10754,10844,13534,12638,11283,43048
2,22.49315685,88.36059137,Jadavpur,6174,8988,9603,10721,10644,14015,12926,11342,43052
2,22.49288345,88.36088029,Jadavpur,9099,9075,9552,10568,10460,14338,12784,10978,43062
2,22.49261004,88.36116922,Jadavpur,7344,9088,9510,10393,10299,13973,13151,11628,42932
2,22.49206323,88.36174706,Jadavpur,9099,9215,9775,10829,10790,14586,13174,11237,42905
2,22.49178982,88.36203598,Jadavpur,8280,8896,9484,10687,10625,14025,12820,11060,43031
2,22.49206569,88.36145549,Jadavpur,6264,9169,9585,10500,10418,14065,12979,11373,42904
2,22.49179721,88.36116127,Jadavpur,6525,9044,9590,10561,10556,13304,13096,11714,42900
2,22.49233664,88.36145814,Jadavpur,6174,9064,9302,10141,9747,13922,13167,11367,42901
2,22.49287852,88.36146344,Jadavpur,6525,8947,9439,10513,10403,14059,12525,11038,42922
2,22.5349999,88.34699999,Alipore,8514,9041,9396,10113,9882,11187,11796,11198,43275
2,22.53499746,88.34729166,Alipore,8514,8934,9304,10082,9868,11141,11413,10893,43249
2,22.53499501,88.34758332,Alipore,7344,8850,9212,9964,9766,11053,11041,10523,43276
2,22.53498768,88.34845832,Alipore,7110,8842,9132,9847,9553,11216,11406,10725,43321
2,22.53471185,88.34903901,Alipore,9099,8920,9298,10111,9896,11441,11907,11189,43232
2,22.53471185,88.34903901,Alipore,7110,8920,9298,10111,9896,11441,11907,11189,43232
2,22.53443602,88.34961971,Alipore,6264,9124,9661,10673,10743,12204,12237,11393,43163
2,22.53443357,88.34991137,Ballygunge,6525,9033,9552,10547,10495,12084,11873,10863,43131
2,22.53442867,88.3504947,Ballygunge,7344,9095,9758,10786,10823,12583,12063,10758,42991
2,22.53470207,88.35020567,Ballygunge,7110,9048,9683,10696,10654,12320,12110,11210,43003
2,22.53470696,88.34962234,Alipore,7110,9018,9739,10851,10967,12425,12236,11199,43151
2,22.53498035,88.34933331,Alipore,7344,9252,9706,10570,10487,12126,12092,10947,43206
2,22.53498279,88.34904165,Alipore,7344,9091,9445,10218,10036,11597,12020,11433,43248
2,22.53498768,88.34845832,Alipore,9801,8842,9132,9847,9553,11216,11406,10725,43321
2,22.53526352,88.34787762,Alipore,6174,8696,9236,10219,10129,11489,11648,10952,43312
2,22.53525618,88.34875261,Alipore,6525,9175,9449,10086,9759,11828,12620,11997,43375
2,22.53526107,88.34816928,Alipore,7344,8911,9390,10268,10138,11609,12049,11491,43323
2,22.53472163,88.34787236,Alipore,6174,8831,9031,9694,9173,11351,11370,10490,43307
2,22.5344458,88.34845305,Alipore,6525,9060,9324,10075,9762,10987,11416,10814,43283
2,22.53443846,88.34932805,Alipore,9801,8967,9409,10347,10250,11916,12968,12043,43192
2,22.53390635,88.34815613,Alipore,7227,8957,9333,10094,9960,11229,11675,11004,43212
