Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
2,22.53498768,88.34845832,Alipore,9801,8840,9354,10224,10159,12146,12007,11037,44048
2,22.53471185,88.34903901,Alipore,6264,8949,9401,10056,9886,11376,12070,11330,43938
2,22.53471185,88.34903901,Alipore,6030,8949,9401,10056,9886,11376,12070,11330,43938
2,22.53443602,88.34961971,Alipore,8280,9120,9709,10505,10675,12232,11992,11089,43793
2,22.53443357,88.34991137,Ballygunge,6525,8930,9532,10343,10383,12240,11433,10275,43746
2,22.53442867,88.3504947,Ballygunge,9099,8866,9408,10503,10425,13334,12507,10978,43614
2,22.53470207,88.35020567,Ballygunge,6264,8592,9195,10065,9939,11998,11891,10644,43598
2,22.53470696,88.34962234,Alipore,9099,9084,9670,10646,10789,12475,12259,11174,43778
2,22.53498035,88.34933331,Alipore,6174,9189,9698,10294,10234,12308,11603,10506,43872
2,22.53498279,88.34904165,Alipore,6525,9085,9440,10109,9940,11458,12304,11450,43953
2,22.53498768,88.34845832,Alipore,6030,8840,9354,10224,10159,12146,12007,11037,44048
2,22.53526352,88.34787762,Alipore,6264,8857,9523,10433,10415,12089,12131,11194,44104
2,22.53525618,88.34875261,Alipore,8280,9002,9470,10204,10115,12428,13549,12436,44094
2,22.53526107,88.34816928,Alipore,6525,8812,9487,10440,10444,12115,12041,11116,44112
2,22.53472163,88.34787236,Alipore,6264,8855,9422,10319,10242,12717,11936,10761,44037
2,22.5344458,88.34845305,Alipore,6264,9111,9614,10389,10352,11643,12009,11122,44007
2,22.53443846,88.34932805,Alipore,6264,9189,9612,10421,10464,12521,12989,12083,43856
2,22.53390635,88.34815613,Alipore,7110,8978,9430,10213,10151,11502,11912,11011,43868
