Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.93049839,77.6244671,Koramangala,177000,7919,8328,9226,9080,11167,10059,9147,43911
0,12.93051228,77.62308571,Koramangala,270000,7992,8386,9288,9145,10703,9809,9084,44000
0,12.94650665,77.62270034,Koramangala,203000,8623,9243,10956,11390,13960,13741,12457,44382
0,12.94706533,77.62104823,Koramangala,278600,8995,9394,10654,11047,13045,14211,12966,43915
0,12.97920034,77.57854793,Malleshwaram,278600,9647,10712,11559,12159,14424,16470,15076,44831
0,12.97976702,77.57606643,Malleshwaram,278600,9027,9970,11798,13491,18503,18441,16107,44709
0,12.97867751,77.57660794,Malleshwaram,263700,9254,9807,11231,11521,13704,15046,14158,45133
0,12.97784532,77.57853395,Malleshwaram,344500,8847,9068,10482,10355,14832,13685,12321,44847
0,12.97702408,77.57935459,MG Road,390040,9133,9495,10546,10520,12061,12259,11625,44814
0,12.97730879,77.57797568,Malleshwaram,278600,9104,9565,10717,10953,13387,13516,11954,44945
0,12.98562757,77.58635279,MG Road,163000,8545,9145,10490,10417,12719,11973,10911,42838
0,12.98535932,77.58607364,MG Road,390040,3831,5079,9541,8894,13096,13737,12154,42559
0,12.98648731,77.58166327,Malleshwaram,177000,9269,10171,11632,12199,14661,14538,12808,43485
0,12.98811059,77.58195642,Malleshwaram,482300,14336,14120,15923,16365,20572,19290,17119,41032
0,12.98730307,77.58139532,Malleshwaram,390040,16528,17084,18528,19856,23473,22424,20118,42685
0,12.98704853,77.57973442,Malleshwaram,482300,3976,4438,9904,10175,14921,14461,12861,43332
0,12.98569076,77.57999678,Malleshwaram,344500,17036,16893,18788,18537,21341,19513,17210,41197
0,12.98459851,77.58081463,Malleshwaram,163000,23510,24204,25067,25638,27631,25877,22950,41565
0,12.98570722,77.57833868,Malleshwaram,286020,19807,20292,21221,22168,25278,24350,21416,41361
0,12.98598645,77.57751242,Malleshwaram,270000,13362,13748,16565,17105,21119,21417,18769,41828
0,12.98490517,77.57722489,Malleshwaram,204300,19193,19865,20982,22158,25459,24126,21457,41498
0,12.98112205,77.57608039,Malleshwaram,203000,8849,9343,11679,11259,13188,13590,13361,44807
0,12.9778508,77.57798127,Malleshwaram,344500,8995,9379,10479,10903,13238,14122,13327,44898
0,12.9783791,77.57936857,Malleshwaram,286020,9081,9680,10814,10991,13420,13249,11934,44654
0,12.9770323,77.57852557,Malleshwaram,203000,9942,10425,11288,11591,13766,13529,12595,44858
0,12.97946038,77.57965609,Malleshwaram,390040,8907,9563,10752,11508,14657,15193,12520,44962
